regime,scheduler,run,aoi_ms,peak_ms,duty
loose,HarmonicGreedy,5,39.65,77.15,0.04
loose,EqualInterval,6,39.65,77.15,0.04
loose,EnergyGreedy,8,39.65,77.15,0.04
loose,EnergyGreedy,2,39.65,77.15,0.04
loose,EnergyGreedy,5,39.65,77.15,0.04
loose,EnergyGreedy,7,39.65,77.15,0.04
loose,EnergyGreedy,6,39.65,77.15,0.04
loose,EqualInterval,10,39.65,77.15,0.04
loose,EqualInterval,1,39.65,77.15,0.04
loose,HarmonicGreedy,6,39.65,77.15,0.04
loose,EnergyGreedy,1,39.65,77.15,0.04
loose,EqualInterval,2,39.65,77.15,0.04
loose,HarmonicGreedy,1,39.65,77.15,0.04
loose,HarmonicGreedy,3,39.65,77.15,0.04
loose,EnergyGreedy,3,39.65,77.15,0.04
loose,EnergyGreedy,4,39.65,77.15,0.04
loose,EqualInterval,8,39.65,77.15,0.04
loose,HarmonicGreedy,2,39.65,77.15,0.04
loose,EqualInterval,4,39.65,77.15,0.04
loose,EqualInterval,9,39.65,77.15,0.04
loose,HarmonicGreedy,7,39.65,77.15,0.04
loose,EqualInterval,3,39.65,77.15,0.04
loose,EqualInterval,7,39.65,77.15,0.04
loose,HarmonicGreedy,8,39.65,77.15,0.04
loose,EnergyGreedy,9,39.65,77.15,0.04
loose,EqualInterval,5,39.65,77.15,0.04
loose,HarmonicGreedy,4,39.65,77.15,0.04
loose,EnergyGreedy,10,39.65,77.15,0.04
loose,HarmonicGreedy,10,39.65,77.15,0.04
loose,HarmonicGreedy,9,39.65,77.15,0.04
tight,EqualInterval,2,20.9,39.65,0.08
tight,EqualInterval,1,20.9,39.65,0.08
tight,EqualInterval,4,20.9,39.65,0.08
tight,EqualInterval,5,20.9,39.65,0.08
tight,EnergyGreedy,3,20.9,39.65,0.08
tight,EqualInterval,10,20.9,39.65,0.08
tight,EnergyGreedy,6,20.9,39.65,0.08
tight,EqualInterval,7,20.9,39.65,0.08
tight,EnergyGreedy,5,20.9,39.65,0.08
tight,EqualInterval,8,20.9,39.65,0.08
tight,HarmonicGreedy,1,20.9,39.65,0.08
tight,EqualInterval,3,20.9,39.65,0.08
tight,EnergyGreedy,9,20.9,39.65,0.08
tight,EnergyGreedy,10,20.9,39.65,0.08
tight,HarmonicGreedy,3,20.9,39.65,0.08
tight,EnergyGreedy,7,20.9,39.65,0.08
tight,EnergyGreedy,8,20.9,39.65,0.08
tight,HarmonicGreedy,2,20.9,39.65,0.08
tight,EqualInterval,9,20.9,39.65,0.08
tight,EqualInterval,6,20.9,39.65,0.08
tight,EnergyGreedy,1,20.9,39.65,0.08
tight,EnergyGreedy,4,20.9,39.65,0.08
tight,HarmonicGreedy,7,20.9,39.65,0.08
tight,HarmonicGreedy,5,20.9,39.65,0.08
tight,EnergyGreedy,2,20.9,39.65,0.08
tight,HarmonicGreedy,6,20.9,39.65,0.08
tight,HarmonicGreedy,4,20.9,39.65,0.08
tight,HarmonicGreedy,8,20.9,39.65,0.08
tight,HarmonicGreedy,10,20.9,39.65,0.08
skew,EqualInterval,8,20.9,39.65,0.08
skew,EqualInterval,3,20.9,39.65,0.08
tight,HarmonicGreedy,9,20.9,39.65,0.08
skew,EqualInterval,5,20.9,39.65,0.08
skew,EqualInterval,10,20.9,39.65,0.08
skew,EqualInterval,6,20.9,39.65,0.08
skew,EqualInterval,2,20.9,39.65,0.08
skew,EnergyGreedy,4,19.11,36.07,0.08019
skew,EnergyGreedy,3,19.11,36.07,0.08019
skew,EqualInterval,4,20.9,39.65,0.08
skew,EnergyGreedy,6,19.11,36.07,0.08019
skew,EnergyGreedy,5,19.11,36.07,0.08019
skew,EqualInterval,1,20.9,39.65,0.08
skew,EqualInterval,7,20.9,39.65,0.08
